
Page||Recent Revisions||Total Revisions||Recent Reverts||Total Reverts||Recent Contention||Total Contention
札幌市||855||855||5||5||0.005847953216374269||0.005847953216374269
IBC岩手放送||854||854||1||1||0.00117096018735363||0.00117096018735363
魔弾戦記リュウケンドー||853||853||1||1||0.0011723329425556857||0.0011723329425556857
バンプレストオリジナルのキャラクター一覧||852||852||0||0||0.0||0.0
京都放送||849||849||0||0||0.0||0.0
王貞治||849||849||1||1||0.001177856301531213||0.001177856301531213
安田章大||849||849||1||1||0.001177856301531213||0.001177856301531213
清原和博||846||846||1||1||0.001182033096926714||0.001182033096926714
お笑いタレント||845||845||3||3||0.0035502958579881655||0.0035502958579881655
全国高等学校クイズ選手権||840||840||0||0||0.0||0.0
ナインティナイン||839||839||0||0||0.0||0.0
岩手県出身の人物一覧||838||838||0||0||0.0||0.0
関ジャニ∞||837||837||3||3||0.0035842293906810036||0.0035842293906810036
水戸黄門 (パナソニック ドラマシアター)||836||836||1||1||0.0011961722488038277||0.0011961722488038277
大泉洋||835||835||1||1||0.0011976047904191617||0.0011976047904191617
舞-HiME||833||833||0||0||0.0||0.0
東武伊勢崎線||831||831||4||4||0.0048134777376654635||0.0048134777376654635
ジパング (漫画)||828||828||2||2||0.0024154589371980675||0.0024154589371980675
星野仙一||827||827||2||2||0.0024183796856106408||0.0024183796856106408
メタルギアソリッド||826||826||1||1||0.0012106537530266344||0.0012106537530266344
拓殖大学||823||823||2||2||0.002430133657351154||0.002430133657351154
東京都||823||823||2||2||0.002430133657351154||0.002430133657351154
ORANGE RANGE||823||823||11||11||0.013365735115431349||0.013365735115431349
打ち切り||822||822||5||5||0.006082725060827251||0.006082725060827251
野比のび太||821||821||2||2||0.00243605359317905||0.00243605359317905
ロックマンXシリーズ||818||818||0||0||0.0||0.0
松任谷由実||814||814||1||1||0.0012285012285012285||0.0012285012285012285
ソーシャル・ネットワーキング・サービス||813||813||8||8||0.00984009840098401||0.00984009840098401
堺市||813||813||1||1||0.0012300123001230013||0.0012300123001230013
小田急小田原線||811||811||7||7||0.008631319358816275||0.008631319358816275
ちびまる子ちゃん||809||809||2||2||0.002472187886279357||0.002472187886279357
コンピュータゲームのタイトル一覧||804||804||2||2||0.0024875621890547263||0.0024875621890547263
遊☆戯☆王デュエルモンスターズGX||803||803||6||6||0.007471980074719801||0.007471980074719801
ケータイ刑事 銭形シリーズ||801||801||1||1||0.0012484394506866417||0.0012484394506866417
特殊急襲部隊||801||801||3||3||0.003745318352059925||0.003745318352059925
福岡県出身の人物一覧||798||798||1||1||0.0012531328320802004||0.0012531328320802004
関西テレビ放送||797||797||0||0||0.0||0.0
日本の市町村の廃置分合||797||797||1||1||0.0012547051442910915||0.0012547051442910915
公明党||794||794||3||3||0.003778337531486146||0.003778337531486146
天皇||794||794||7||7||0.008816120906801008||0.008816120906801008
日本プロサッカーリーグ||793||793||2||2||0.0025220680958385876||0.0025220680958385876
神戸市||793||793||1||1||0.0012610340479192938||0.0012610340479192938
Au (携帯電話)||793||793||7||7||0.008827238335435058||0.008827238335435058
クイズ!ヘキサゴンII/log20090401||793||793||2||2||0.0025220680958385876||0.0025220680958385876
銀河英雄伝説||792||792||2||2||0.0025252525252525255||0.0025252525252525255
青森テレビ||792||792||0||0||0.0||0.0
日本航空123便墜落事故||792||792||3||3||0.003787878787878788||0.003787878787878788
法政大学||792||792||2||2||0.0025252525252525255||0.0025252525252525255
架空の武器||788||788||1||1||0.0012690355329949238||0.0012690355329949238
世界一の一覧||786||786||5||5||0.006361323155216285||0.006361323155216285
東武鉄道||785||785||4||4||0.005095541401273885||0.005095541401273885
広島東洋カープ||785||785||6||6||0.007643312101910828||0.007643312101910828
中国放送||785||785||0||0||0.0||0.0
電車男||782||782||0||0||0.0||0.0
SLAM DUNK||780||780||3||3||0.0038461538461538464||0.0038461538461538464
石原慎太郎||779||779||13||13||0.01668806161745828||0.01668806161745828
八王子市||779||779||1||1||0.0012836970474967907||0.0012836970474967907
東京都出身の人物一覧||779||779||0||0||0.0||0.0
灼眼のシャナ||778||778||8||8||0.010282776349614395||0.010282776349614395
リンカーン (テレビ番組)||777||777||1||1||0.001287001287001287||0.001287001287001287
安倍なつみ||776||776||16||16||0.020618556701030927||0.020618556701030927
能登麻美子||776||776||3||3||0.003865979381443299||0.003865979381443299
さんまのSUPERからくりTV||776||776||0||0||0.0||0.0
くりぃむしちゅーのオールナイトニッポン||774||774||6||6||0.007751937984496124||0.007751937984496124
アメリカ同時多発テロ事件||773||773||3||3||0.0038809831824062097||0.0038809831824062097
新庄剛志||773||773||2||2||0.00258732212160414||0.00258732212160414
東京ヤクルトスワローズ||772||772||6||6||0.007772020725388601||0.007772020725388601
クインテット (テレビ番組)||771||771||3||3||0.0038910505836575876||0.0038910505836575876
ポケットモンスター (アニメ)||769||769||2||2||0.002600780234070221||0.002600780234070221
横浜駅||767||767||2||2||0.002607561929595828||0.002607561929595828
山下智久||766||766||8||8||0.010443864229765013||0.010443864229765013
中日ドラゴンズ||765||765||1||1||0.00130718954248366||0.00130718954248366
学習院大学||763||763||0||0||0.0||0.0
JR福知山線脱線事故||763||763||0||0||0.0||0.0
釧路市||762||762||0||0||0.0||0.0
国際空港の一覧||761||761||0||0||0.0||0.0
ニンテンドーDS||761||761||8||8||0.010512483574244415||0.010512483574244415
群馬県||761||761||1||1||0.001314060446780552||0.001314060446780552
東急東横線||760||760||3||3||0.003947368421052632||0.003947368421052632
東海大学||759||759||5||5||0.006587615283267457||0.006587615283267457
浦安鉄筋家族||759||759||0||0||0.0||0.0
プロレスラー一覧||756||756||0||0||0.0||0.0
大塚愛||756||756||8||8||0.010582010582010581||0.010582010582010581
金色のガッシュ!!||755||755||1||1||0.0013245033112582781||0.0013245033112582781
鋼の錬金術師||754||754||1||1||0.001326259946949602||0.001326259946949602
Mr.Children||753||753||0||0||0.0||0.0
Dr.スランプ||751||751||5||5||0.006657789613848202||0.006657789613848202
GUILTY GEAR||749||749||1||1||0.0013351134846461949||0.0013351134846461949
エースコンバットシリーズ||748||748||0||0||0.0||0.0
石田彰||747||747||2||2||0.002677376171352075||0.002677376171352075
キン肉マン||747||747||1||1||0.0013386880856760374||0.0013386880856760374
逆転裁判||747||747||5||5||0.006693440428380187||0.006693440428380187
笑いの金メダル||747||747||3||3||0.004016064257028112||0.004016064257028112
立命館大学||746||746||1||1||0.0013404825737265416||0.0013404825737265416
おたく||745||745||13||13||0.0174496644295302||0.0174496644295302
レミオロメン||744||744||0||0||0.0||0.0
